scenario,sweep_param,sweep_value,depth_rel,A,aPAR,Rd,Ps,Kn
Uniform,LAI,1.5,0.307142857142857,10.2903391494576,646.003332072648,0.742776181642513,0.734169931025834,1.3467566841993
Uniform,LAI,1.5,0.321428571428571,10.157280182219,635.84020069862,0.736016035739785,0.723415584678342,1.331603570689
Uniform,LAI,1.5,0.335714285714286,10.0257573945195,625.863983199029,0.729317415197934,0.712818771294916,1.31658066882874
Uniform,LAI,1.5,0.35,9.89577537178032,616.071640389389,0.722679760063061,0.702377183284375,1.30169234303071
Uniform,LAI,1.5,0.364285714285714,9.76734199011434,606.460194006509,0.716102515477524,0.692088546857845,1.28694428696327
Uniform,LAI,1.5,0.378571428571429,9.64046506661341,597.026725686059,0.709585131633531,0.681950621533607,1.27234207507068
Uniform,LAI,1.5,0.392857142857143,9.51515107359727,587.768375962221,0.703127063727204,0.671961199649205,1.25789058968314
Uniform,LAI,1.5,0.407142857142857,9.39140542273556,578.682343289044,0.696727771913023,0.662118105880701,1.24359407895982
Uniform,LAI,1.5,0.421428571428571,9.2692335076979,569.76588308313,0.690386721258706,0.652419196768969,1.22945668556445
Uniform,LAI,1.5,0.435714285714286,9.14864001714924,561.016306787293,0.68410338170049,0.64286236025293,1.21548213670765
Uniform,LAI,1.5,0.45,9.02962996573086,552.43098095483,0.67787722799882,0.633445515209623,1.20167421889538
Uniform,LAI,1.5,0.464285714285714,8.9122078959681,544.007326354066,0.671707739694449,0.624166611001014,1.18803642612621
Uniform,LAI,1.5,0.478571428571429,8.79637984776905,535.742817092827,0.665594401064923,0.615023627027446,1.1745729325842
Uniform,LAI,1.5,0.492857142857143,8.68215016661965,527.634979762517,0.659536701081479,0.606014572287623,1.16128711180032
Uniform,LAI,1.5,0.507142857142857,8.56952169329915,519.681392601479,0.653534133366321,0.597137484945049,1.14818149284684
Uniform,LAI,1.5,0.521428571428571,8.45849936014129,511.879684677309,0.647586196150295,0.588390431900809,1.13525969288399
Uniform,LAI,1.5,0.535714285714286,8.34908586647187,504.227535087846,0.641692392230938,0.579771508372615,1.12252421055165
Uniform,LAI,1.5,0.55,8.2412828215622,496.722672180502,0.635852228930926,0.571278837480013,1.10997697351649
Uniform,LAI,1.5,0.564285714285714,8.1350933814578,489.362872789675,0.630065218056879,0.562910569835671,1.09762074291436
Uniform,LAI,1.5,0.578571428571429,8.03052021136003,482.14596149193,0.62433087585856,0.554664883142649,1.08545808076036
Uniform,LAI,1.5,0.592857142857143,7.9275644770697,475.069809878693,0.618648722988431,0.546539981797572,1.07349083541205
Uniform,LAI,1.5,0.607142857142857,7.82622737315387,468.132335846172,0.613018284461591,0.538534096499614,1.06172091858025
Uniform,LAI,1.5,0.621428571428571,7.72651103816825,461.331502902248,0.607439089616065,0.53064548386521,1.05015086425254
Uniform,LAI,1.5,0.635714285714286,7.62841622691516,454.665319490076,0.601910672073454,0.522872426048412,1.03878257690289
Uniform,LAI,1.5,0.65,7.53194288223656,448.131838328143,0.596432569699966,0.515213230366806,1.02761763424522
Uniform,LAI,1.5,0.664285714285714,7.43709138827488,441.72915576655,0.591004324567771,0.507666228932911,1.01665800921121
